issue,date,f1,f2,f3,f4,f5,b1,b2
2025001,2025-01-01,3,7,18,22,31,4,11
2025002,2025-01-03,1,9,16,24,35,2,8
2025003,2025-01-06,5,12,18,27,33,3,10
2025004,2025-01-08,2,7,14,23,31,1,11
2025005,2025-01-10,6,13,19,28,34,5,12
2025006,2025-01-13,4,11,18,25,30,3,9
2025007,2025-01-15,7,15,20,26,32,6,11
2025008,2025-01-17,3,10,17,24,35,2,7
2025009,2025-01-20,8,14,21,29,34,4,10
2025010,2025-01-22,1,7,18,23,31,3,11
2025011,2025-01-24,5,12,19,27,33,1,8
2025012,2025-01-27,2,9,16,25,30,5,12
2025013,2025-01-29,6,13,20,28,35,2,9
2025014,2025-01-31,4,11,17,24,32,6,10
2025015,2025-02-03,7,14,18,26,34,3,11
2025016,2025-02-05,3,10,21,29,31,4,12
2025017,2025-02-07,8,15,19,27,33,1,7
2025018,2025-02-10,1,12,16,23,35,5,9
2025019,2025-02-12,5,13,20,28,34,2,11
2025020,2025-02-14,2,9,18,25,30,3,10
2025021,2025-02-17,6,14,21,29,32,4,8
2025022,2025-02-19,4,11,17,24,31,6,12
2025023,2025-02-21,7,15,19,26,33,1,11
2025024,2025-02-24,3,10,18,27,35,5,9
2025025,2025-02-26,8,12,20,28,34,2,10
2025026,2025-02-28,1,9,16,23,30,3,7
2025027,2025-03-03,5,13,21,29,32,4,11
2025028,2025-03-05,2,14,17,24,31,6,8
2025029,2025-03-07,6,11,19,26,33,1,12
2025030,2025-03-10,4,15,18,27,35,3,9
